engine,bench,pkg-power,time,power
jsc-nojit,double-linked-list,138.4710388,3471.888889,0.03988348799
mujs,double-linked-list,710.0167067,17659.55556,0.04020580838
node-jit,double-linked-list,5.776800156,142.5555556,0.04052314996
node-nojit,double-linked-list,142.4207526,3539.125,0.0402417978
qjs,double-linked-list,274.6837175,6648.777778,0.04131341529
rhino-jit,double-linked-list,219.7159441,5426.444444,0.04048985414
rhino-nojit,double-linked-list,34538.96248,912007.125,0.03787137352
ch-jit,iter-double-linked-list,83.28706699,2062,0.04039140009
ch-nojit,iter-double-linked-list,144.6360881,3576.125,0.04044491959
d8-jit,iter-double-linked-list,9.828119278,249.4444444,0.03940003274
d8-nojit,iter-double-linked-list,33.14389229,843.875,0.03927583148
duk,iter-double-linked-list,344.2129788,8565,0.0401883221
espruino,iter-double-linked-list,3023.522433,73442.44444,0.04116859747
hermes-gengc,iter-double-linked-list,11710.32023,283737.375,0.04127168733
hermes-hades,iter-double-linked-list,5428.845854,131698.2222,0.04122186133
hermes-malloc,iter-double-linked-list,5937.199484,142998.4444,0.04151932916
jerry-512k,iter-double-linked-list,197.5340373,4941.888889,0.03997136352
